专业,题目,链接,摘要,作者,导师,学校,发表时间,等级,关键词1,关键词2,关键词3,关键词4,下载量,被引数
统计学,主成分分析与二维主成分分析之比较研究?,http://cdmd.cnki.com.cn/Article/CDMD-10689-1014035574.htm,数据降维具有重要的意义，一方面高维数据无法在一些具体的算法中直接应用，降维可以解决“维数灾难”，降低数据复杂度，使一些算法可以正常使用；另一方面高维数据往往包含了大量的噪声和冗余，降维提炼出高维数据中...,吴敬华,赵建华,云南财经大学,2014,硕士论文,主成分分析,二维主成分分析,欧氏距离,马氏距离,522,12
统计学,重庆市经济增长与环境质量的关系研究?,http://cdmd.cnki.com.cn/Article/CDMD-11799-1014240279.htm,近年来，我国经济的快速发展，随之爆发了不少环境污染问题，“雾霾”已包围几大省市，一些地方水污染、大气污染严重，环境问题日益严重，已经引起了党中央、机关干部和人民群众的高度重视。重庆市自从直辖以来，经济...,刁晓林,袁德美,重庆工商大学,2014,硕士论文,EKC,经济增长,环境质量,回归分析,600,12
统计学,中国能源工业投资研究?,http://cdmd.cnki.com.cn/Article/CDMD-10125-1014240452.htm,联合国政府间气候变化专门委员会（IPCC）第四次评估报告显示，人类活动的净效应(+1.6[+0.6至+2.4]W/m2)是气候变暖的重要原因，其作用大于太阳辐照度的变化所产生小幅的变暖效应。国际社会对此已经达成共识，提出通过...,杨毅,赵国浩,山西财经大学,2014,博士论文,能源工业投资,温室气体减排,面板VAR模型,双边随机前沿分析方法,1607,6
统计学,我国上市公司债务融资税盾及财务杠杆效应分析?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014406759.htm,"各企业要在越来越激烈的国内和国际市场竞争中不断发展自身,就必须不断提高自身的适应能力和竞争能力。企业为了自身发展,不可避免的要面临融资问题。债务融资作为企业融资的一大来源,对于提高自己竞争力进而提升企业...",龚浔,苏远琳,西南财经大学,2014,硕士论文,债务融资,税盾效应,财务杠杆效应,行业差异,3145,8
统计学,基于数据挖掘组合模型的股价预测研究?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014406668.htm,"改革开放以来,随着我国经济的快速发展,股票市场也应运而生。我国股市自成立以来,历经了风风雨雨之后,获得了快速的成长,逐步发展壮大。一方面在推动实体经济发展,完善市场经济机制,合理分配社会资源,促进生产要素重新...",何裕,李保坤,西南财经大学,2014,硕士论文,数据挖掘,决策树,神经网络,logistic回归,1892,10
统计学,我国制造业产能过剩问题测度与成因研究?,http://cdmd.cnki.com.cn/Article/CDMD-10336-1015549445.htm,随着我国经济的快速增长、工业品投资力度的不断加大，以及2008年由美国出现的金融危机影响逐步波及全球，作为我国工业重要组成部分的制造业在近年来出现了较为严重的产能过剩问题，并由此引起政府部门的高度关注和社...,章文川,黄晓莉,杭州电子科技大学,2014,硕士论文,制造业产能过剩,产能利用效率,广义DEA,面板协整检验,659,8
统计学,贵州省综合交通运输系统与经济协调性评价研究?,http://cdmd.cnki.com.cn/Article/CDMD-10671-1015501784.htm,综合交通运输系统与国民经济有着非常紧密的联系。如果综合交通运输系统发展不足，则满足不了国民经济发展的需要，那么交通运输就会束缚国民经济的发展，成为制约国民经济发展的因素。贵州地处西南地区，山地覆盖面广...,王双,余孝军,贵州财经大学,2014,硕士论文,综合交通运输系统,经济,协调性评价,主成分分析,648,9
统计学,江西旅游收入影响因素分析与预测方法比较?,http://cdmd.cnki.com.cn/Article/CDMD-10421-1015512680.htm,"伴随着现代社会的飞速发展,人们的收入与闲暇在不断增多,被称为“无烟工业”的旅游产业迅猛崛起。由于旅游产业需要的投入资源相对较少,同时在一定程度上能增加当地的就业机会并带动其他行业经济一同发展,因此很多地区...",袁斯玮,漆莉莉,江西财经大学,2014,硕士论文,江西旅游收入,灰色理论,BP神经网络,,1503,6
统计学,北京市产业结构与就业结构变动关系研究?,http://cdmd.cnki.com.cn/Article/CDMD-10038-1014220658.htm,产业结构与就业结构的关系从经济发展开始受到人们关注的时候就被各国的经济学家的研究对象。从配第克拉克定理到刘易斯的二元理论直到现在各界学者们的研究，对于产业结构和就业关系的研究也逐渐深入，但宗旨都是为了...,黄鑫,刘娟,首都经济贸易大学,2014,硕士论文,产业结构,就业结构,DEA有效性分析,偏离度,487,11
统计学,我国开放式基金业绩影响因素分析?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014406580.htm,"截至2013年12月31日,我国国内基金公司数目达到89家；基金市场上共有基金1552支,其中开放式基金1476支,份额规模占全部基金份额规模的96.01%。如此大规模的资产情况已经确立开放式基金在我国证券市场上的核心地位。基...",谢冠男,郭建军,西南财经大学,2014,硕士论文,基金业绩,影响因素,面板模型,,1138,8
